Stock,Model,RMSE,MAE
AAPL,Moving_Average,4.9406,3.8631
AAPL,Arima,3.1748,2.316
AAPL,LSTM,7.3517,6.0099
AAPL,CNN-LSTM,13.9706,12.6807
TSLA,Moving_Average,16.2289,11.3117
TSLA,Arima,10.8803,7.6139
TSLA,LSTM,18.9292,13.7508
TSLA,CNN-LSTM,22.2921,15.6918
AMZN,Moving_Average,4.7857,3.7258
AMZN,Arima,3.3536,2.5255
AMZN,LSTM,9.5505,8.1363
AMZN,CNN-LSTM,6.1335,4.9396
KO,Moving_Average,0.8866,0.657
KO,Arima,0.5878,0.434
KO,LSTM,1.162,0.8758
KO,CNN-LSTM,2.4258,2.1197
JPM,Moving_Average,4.7256,3.4514
JPM,Arima,3.1471,2.0606
JPM,LSTM,8.4861,7.1901
JPM,CNN-LSTM,13.1713,12.0392
NVDA,Moving_Average,5.5101,4.2224
NVDA,Arima,3.956,2.8564
NVDA,LSTM,23.8635,22.2872
NVDA,CNN-LSTM,15.1134,13.6888
